Artist,Title,Mood
Prince,1999,Happy
Blonde Redhead,23,Sad
Damien Rice,9 Crimes,Sad
Nena,99 Luftballons,Happy
Underoath,A Boy Brushed Red Living In Black And White,Energetic
Emmanuelle Rimbaud,A Burden to Bear,Calm
Ron Adelaar,A La Plage,Calm
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,Happy
Linkin Park,A Place for My Head,Energetic
Thirty Seconds To Mars,ATTACK,Energetic
Lucas & Steve,Adagio For Strings,Energetic
Josie Mehlin,Adjustments,Calm
Cooper Sams,Adrift,Calm
Billy Talent,Afraid of Heights,Energetic
TOTO,Africa,Happy
Comet Blue,After The Rain,Calm
Avenged Sevenfold,Afterlife,Energetic
One Sentence. Supervisor,Algo Rhythm,Sad
Slowdive,Alison,Sad
Paris Blohm,Alive,Energetic
Kodaline,All I Want,Sad
Angel Olsen,All Mirrors,Sad
Bullet For My Valentine,All These Things I Hate (Revolve Around Me),Energetic
Stone Temple Pilots,All in the Suit That You Wear,Energetic
John Legend,All of Me,Sad
Lost Frequencies,All or Nothing (feat. Axel Ehnström) - Deluxe Mix,Happy
Saliva,Always,Energetic
Nils Frahm,Ambre,Calm
Alexi Musnitsky,Anaviosi,Calm
Novo Amor,Anchor,Sad
Weyes Blood,Andromeda,Sad
Arlo Parks,Angel's Song,Sad
Alice In Chains,Angry Chair,Energetic
EDX,Anthem,Happy
Story Of The Year,Anthem of Our Dying Day,Energetic
Jet,Are You Gonna Be My Girl,Happy
Tobtok,As I Sleep (feat. Charlee),Energetic
Warpaint,Ashes to Ashes,Sad
Hugar,Atlavík,Calm
Toledo Rains,Auburn Sky,Calm
William Duhamel,Awaken,Calm
Puddle Of Mudd,Away From Me,Energetic
Otto Knows,Back Where I Belong (feat. Avicii),Energetic
Ton Snijders,Back+,Calm
Muzz,Bad Feeling,Sad
May,Bad Kingdom,Sad
Arlo Day,Bad Timing,Sad
Father John Misty,Ballad of the Dying Man,Sad
YuMe,Balloon,Calm
Avenged Sevenfold,Bat Country,Energetic
Bilo 503,Bayybe 07,Calm
The 1975,Be My Mistake,Sad
Lost Frequencies,Beautiful Life,Happy
Burden Brothers,Beautiful Night,Energetic
Job Roggeveen,Beekweide,Calm
Lewis Capaldi,Before You Go,Sad
Elton John,Bennie And The Jets - Remastered 2014,Happy
Rhys Lewis,Better Than Today,Sad
Jack Johnson,Better Together,Happy
Wilson Trouvé,Betty,Calm
Jeremy Olander,Billinghurst,Energetic
Billie Marten,Bird,Sad
Grandaddy,Bison on the Plains,Sad
Beach House,Black Car,Sad
(Hed) P.E.,Blackout,Energetic
Manse,Blame,Energetic
Marc Benjamin,Blaster,Energetic
Jimmy Eat World,Bleed American,Energetic
SOAK,Bloodbuzz Ohio,Sad
Hilder Sky,Bloom,Calm
Fink,Bloom Innocent,Sad
Yves V,Blow,Happy
Bingo Players,Body Rock,Happy
Limp Bizkit,Boiler,Energetic
Erik Reno,Bortom Träden,Calm
Isaac Elton,Bottom Of The Sea,Happy
Smile Empty Soul,Bottom of a Bottle,Energetic
La Acacia,Bouquet with Lilies,Calm
Limp Bizkit,Break Stuff,Energetic
Hans Voller,Breathe,Calm
Sia,Breathe Me,Sad
Fatboy Slim,Brimful of Asha - Norman Cook Remix,Happy
Lewis Capaldi,Bruises,Sad
Crazy Town,Butterfly,Happy
Ella van der Woude,Bye Bye Little House,Calm
The Mamas & The Papas,California Dreamin',Happy
Night Sounds,Calm Wilderness,Calm
Armor For Sleep,Car Underwater,Energetic
Beach House,Chariot,Sad
Blasterjaxx,Children Of Today,Energetic
The 1975,Chocolate,Happy
System Of A Down,Chop Suey!,Energetic
Marlies du Mosch,City Lights,Calm
Sia,Clap Your Hands,Happy
Jacco Wynia,Cleansing,Calm
Dhyana Thomas,Clear Skies,Calm
Saliva,Click Click Boom,Energetic
Jakob Ahlbom,Coda,Calm
Mumford & Sons,Cold Arms,Sad
Camo Columbo,Cold Nights,Sad
Kaskade,Cold as Stone (feat. Charlotte Lawrence) - Lipless Remix,Energetic
Barulinho,Colgando,Calm
Evin Iris,Collapse Into Light,Calm
The Offspring,Come Out And Play (Keep ‘Em Separated),Energetic
Zoe Connelly,Coming Home,Calm
Korn,Coming Undone,Energetic
Camila Cabello,Consequences,Sad
Lucy Rose,Conversation,Sad
Autoerotique,Count On You - ATFC's C-thru Remix,Happy
Steff da Campo,Count That - R3HAB Edit,Energetic
Ian Wong,Courage,Calm
Chris Malinchak,Crash,Happy
Hoobastank,Crawling In The Dark,Energetic
Gnarls Barkley,Crazy,Happy
The Osmonds,Crazy Horses,Happy
Radiohead,Creep,Sad
The Tides,Crossing,Calm
Third Eye Blind,Crystal Baller - 2006 Remaster,Energetic
Dean Valio,Crystal Shores,Calm
Beau Projet,Curiosity,Calm
Michael Orvind,Curious Morning,Calm
Billie Marten,Cursive,Sad
Clouseau,Daar Gaat Ze,Happy
Terence Trent D'Arby,Dance Little Sister,Happy
Calum Scott,Dancing On My Own,Sad
AFI,Dancing Through Sunday,Energetic
Sasha Sloan,Dancing With Your Ghost,Sad
Ellie Rose,Dancing With an Astronaut,Sad
Red Hot Chili Peppers,Dani California,Energetic
The National,Dark Side of the Gym,Sad
Low Roar,Darkest Hour,Sad
Light of Sun,Dawning,Calm
Tom Misch,Day 5: For Carol,Calm
Les Manger Tous,De Fléche,Calm
Anthony Ramos,Dear Diary,Sad
Nicky Romero,Deep Dark Jungle,Happy
Thomas Jackson,Den inre skogen,Calm
Lush,Desire Lines,Sad
Bayside,Devotion And Desire,Energetic
Pieter de Graaf,Dew Drops,Calm
The Soft Cavalry,Dive,Sad
KSHMR,Do Bad Well (feat. Nevve),Energetic
Steve Aoki,Do It Again,Energetic
ROSALÍA,Dolerme,Sad
Fleetwood Mac,Don't Stop,Happy
Queen,Don't Stop Me Now - 2011 Mix,Happy
Simple Minds,Don't You (Forget About Me) - Remastered,Happy
Wolf Alice,Don’t Delete The Kisses,Sad
Creedence Clearwater Revival,Down On The Corner,Happy
Rob Zombie,Dragula,Energetic
Alvvays,Dreams Tonite,Sad
Eroded Sky,Drifting,Calm
Sniff 'n' The Tears,Driver's Seat,Happy
Slipknot,Duality,Energetic
3 Doors Down,Duck And Run,Energetic
Bombay Bicycle Club,Dust On The Ground,Sad
FTampa,EDM Sux,Energetic
Ansatz Der Maschine,Eagle,Calm
Bruno Major,Easily,Sad
Philip Bailey,Easy Lover,Happy
Anna Calvi,Eden - Hunted Version,Sad
Stevie Nicks,Edge of Seventeen,Happy
Monocle Twins,Eidolon,Calm
k?d,Electronic Memories (feat. Mickey Kojak),Energetic
Jaakko Eino Kalevi,Emotions in Motion,Sad
Golden Sleep,Empty Street at Night,Calm
Sevendust,Enemy,Energetic
Benjamin Martins,Escaping Time,Calm
Peals,Essential Attitudes,Calm
Airwaves,Event Horizon,Calm
Antonio Giacca,Every Way,Energetic
R.E.M.,Everybody Hurts,Sad
Various Artists,Everyday People,Happy
Skytech,Expedition,Happy
Scary Kids Scaring Kids,Faces,Energetic
Harry Styles,Falling,Sad
Slowdive,Falling Ashes,Sad
Tiz McNamara,Falling Asleep,Sad
Korn,Falling Away from Me,Energetic
Sofie Tukker,Fantasy - R3HAB Remix,Energetic
Alphabeat,Fascination,Happy
blink-182,Feeling This,Energetic
Elementaries,Feels Like Flying,Calm
Johnny Goth,Feels Like We're Dying,Sad
Martèn LeGrand,Fields After Rain,Calm
Martèn LeGrand,Fields Of Blossom,Calm
Luna,Fire in Cairo,Sad
Valentin,Fix You,Sad
Jacco Wynia,Fleur février,Calm
Fedde Le Grand,Flex,Energetic
Michael Orvind,Floating Sunbeams,Calm
Lucas Delphy,Flowing,Calm
Low,Fly - King Britt's Fhloston Paradigm Remix,Sad
Above & Beyond,Flying by Candlelight (ABGT300) - Above & Beyond Club Mix,Energetic
Light of Sun,Focus,Calm
Andre Ehmann,Follow me,Calm
Martin Gauffin,Found,Calm
Third Party,Free,Happy
Dave Pad,Freya,Happy
The Cure,Friday I'm In Love,Happy
Thirty Seconds To Mars,From Yesterday,Energetic
Ron Adelaar,Frozen,Calm
Biba Dupont,Fête sous les étoiles,Calm
3LAU,Game Time (feat. Ninja),Happy
Seether,Gasoline,Energetic
Dexys Midnight Runners,Geno - 2000 Remaster,Happy
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Happy
James Brown,Get Up Offa That Thing,Happy
Papa Roach,Getting Away With Murder,Energetic
Crumb,Ghostride,Sad
Lights & Motion,Glaciers,Calm
Queens of the Stone Age,Go With The Flow,Energetic
Morgan Page,Gone My Way - KhoMha Remix,Energetic
CHIC,Good Times,Happy
The Beach Boys,Good Vibrations - Remastered,Happy
Apparat,Goodbye,Sad
Beirut,Goshen,Sad
Johann Sebastian Bach,"Gottes Zeit ist die allerbeste Zeit, BWV 106: 2a. Gottes Zeit, ist die allerbeste Zeit (Arr. For Piano Four Hands by György Kurtág)",Calm
Minxz,Goya,Calm
Steven Vrancken,Gracewood (Revisited),Calm
Alexander Motovilov,Green Street,Calm
Deee-Lite,Groove Is in the Heart,Happy
Sir Roy,Groovin,Energetic
Brand New,Guernica,Energetic
Tiësto,Halfway There (feat. Lena Leon),Energetic
Boysetsfire,Handful Of Redemption,Energetic
Joe Jackson,Happy Ending,Happy
The Turtles,Happy Together,Happy
Tash Sultana,Harvest Love,Sad
Weezer,Hash Pipe,Energetic
Avicii,Heaven - David Guetta & MORTEN Remix,Happy
Cigarettes After Sex,Heavenly,Sad
Collective Soul,Heavy,Energetic
The Beatles,Here Comes The Sun - Remastered 2009,Happy
Scary Kids Scaring Kids,Holding On,Energetic
Trapt,Hollowman,Energetic
Galantis,Holy Water,Energetic
Lucas & Steve,Home,Energetic
My Chemical Romance,"Honey, This Mirror Isn't Big Enough for the Two of Us",Energetic
Steve Aoki,Hoovela,Happy
OMC,How Bizarre,Happy
Eartheater,How To Fight,Sad
Cult Solo,Human Connection,Happy
Sick Individuals,Humans (Let Me Love You),Happy
Anna Calvi,Hunter,Sad
Monocle Twins,Hypnagogia Well,Calm
Shoffy,I Can't Help (with Sarcastic Sounds),Sad
BADBADNOTGOOD,I Don't Know (feat. Samuel T. Herring),Sad
Random Forest,I Don't Trust That Bird of Prey,Calm
Godsmack,I Stand Alone,Energetic
Mike Posner,I Took A Pill In Ibiza,Sad
KISS,I Was Made For Lovin' You,Happy
Prince,I Would Die 4 U,Happy
Efterklang,I dine øjne,Sad
My Chemical Romance,I'm Not Okay (I Promise),Energetic
Spiritualized,I'm Your Man,Sad
TT,I've Been Fine,Sad
Dimitri Vangelis & Wyman,ID8,Happy
Yonder Dale,If You Believe,Calm
King Princess,If You Think It's Love,Sad
DeLange,Images,Calm
Lucas Delphy,In This Moment,Calm
LEFT.,Indigo,Sad
Amaranth Cove,Infinite Sustain,Calm
Eline Moss,Ingénue,Calm
Hoobastank,Inside Of You,Energetic
Disturbed,Inside the Fire,Energetic
Ton Snijders,Inside*,Calm
Manuel Ponce,Intermezzo No. 1 in E Minor,Calm
Blouse,Into Black,Sad
Job Roggeveen,Isonoe,Calm
Emmrose,It Takes Me Back,Sad
X-Ecutioners,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),Energetic
Lolo Zouaï,It's My Fault,Sad
Labrinth,Jealous,Sad
Sufjan Stevens,"John Wayne Gacy, Jr.",Sad
Reinhard Vanbergen,Juliens Journey,Calm
Sharon Van Etten,Jupiter 4,Sad
Depeche Mode,Just Can't Get Enough - Live in Hammersmith,Happy
369,Just Look at You,Calm
"Grover Washington, Jr.",Just the Two of Us (feat. Bill Withers),Happy
Rosie Carney,K.,Sad
This Mortal Coil,Kangaroo (Remastered),Sad
Burgundy Skies,Kaolnite,Calm
Mark Milan,Keep Going,Calm
Bat For Lashes,Kids In The Dark,Sad
Rage Against The Machine,Killing In The Name,Energetic
Rustin Man,Kinky Living,Sad
Pale Saints,Kinky Love,Sad
Prince,Kiss,Happy
Daryl Hall & John Oates,Kiss On My List - Remastered,Happy
Isaac Elton,Kiss You All Over - Single Edit,Energetic
YuMe,Kite,Calm
Joep Beving,Klangfall - Piano Version,Calm
City of the Sun,La Luz,Calm
Johnning,Last Time,Sad
Paul Simon,Late in the Evening,Happy
Dreyma,Laugavegur,Calm
Major Lazer,Lay Your Head On Me (feat. Marcus Mumford),Happy
James Bay,Let It Go,Sad
Jehnny Beth,Let It Out,Sad
Prince,Let's Go Crazy,Happy
Oliver Heldens,Lift Me Up (feat. Carla Monroe),Energetic
Evan Michael Brown,Light Year,Calm
The National,Light Years,Sad
Mike Candys,Lights Go Down,Energetic
Isaac Elton,Like The First Time - House Mix,Energetic
Melissa Etheridge,Like The Way I Do,Happy
Fedde Le Grand,Like We Do,Energetic
Lucas Delphy,Limitless,Calm
No Vacation,Linger,Sad
The Doobie Brothers,Listen to the Music,Happy
The Used,Listening,Energetic
Minxz,Litost,Calm
Mumford & Sons,Little Lion Man,Happy
Of Monsters and Men,Little Talks,Happy
Bush,Little Things,Energetic
EERA,Living,Sad
The Kinks,"Lola - Live at Providence Civic Center, Providence, RI - September 1979",Happy
Foals,London Thunder,Sad
Andrew Gold,Lonely Boy,Happy
Tom Odell,Long Way Down,Sad
Cocteau Twins,Lorelei,Sad
Search For Atlantis,Los Feliz,Calm
Aquilo,Losing You,Sad
Annelie,Lost,Calm
Nightlands,Lost Moon,Sad
Amy Winehouse,Love Is A Losing Game,Sad
Bill Withers,Lovely Day,Happy
Marc Torch,Lunar Eclipse,Calm
Arthur Jussen,"Ma mère l'oye, M.60 - For Piano Duet, M.60: 1. Pavane de la Belle au bois dormant",Calm
Bush,Machinehead,Energetic
Hooverphonic,Mad About You,Happy
Quintino,Make Believe,Energetic
Matthew Harvey,Malibu,Calm
Tindersticks,Marbles,Sad
Paul Simon,Me and Julio Down by the Schoolyard,Happy
Biba Dupont,Melancholé,Calm
Hilary Hahn,Mercy - Live,Calm
The Police,Message In A Bottle - Remastered 2003,Happy
Nicky Romero,Midnight Sun,Energetic
Reina del Mar,Mil Sonidos,Calm
Patrick Hamilton,Mind-wanders,Calm
Amoll,Mindfulness,Calm
Daniel Blumberg,Minus,Sad
The Rolling Stones,Miss You - Remastered,Happy
Wilson Trouvé,Misty Mornings,Calm
Monocle Twins,Momentum,Calm
Le Verne,Montana,Calm
Antuigo,Monumental,Calm
Vochey,Morning Shimmer,Calm
Steven Vrancken,Moulain (Revisited 432hz),Calm
Weyes Blood,Movies,Sad
Electric Light Orchestra,Mr. Blue Sky,Happy
Staind,Mudshovel,Energetic
AURORA,"Murder Song (5, 4, 3, 2, 1) - Acoustic",Sad
The Cardigans,My Favourite Game,Energetic
Foo Fighters,My Hero,Energetic
Lit,My Own Worst Enemy,Energetic
The Knack,My Sharona,Happy
Nicky Romero,My Way - Marcus Santoro Remix,Energetic
TT,Mykki,Sad
Matteo Myderwyk,Nazareth,Calm
Faustix,Need You - Ed. & Gustav Munk Remix,Happy
Blasterjaxx,Never Be Lonely (feat. Envy Monroe),Energetic
Audien,Never Letting Go,Happy
Isobel Campbell,Never My Love,Sad
Wilson Trouvé,Night,Calm
Bob Seger,Night Moves,Happy
DeLange,Night Surrender,Calm
Jerkcurb,Night on Earth,Sad
Dada Life,No More 54,Energetic
Queens of the Stone Age,No One Knows,Energetic
Billie Eilish,No Time To Die,Sad
Whitney,No Woman,Sad
Mac DeMarco,Nobody,Sad
Ton Snijders,North,Calm
Lundegard,North Captiva,Calm
Otto Knows,Not Alone,Happy
Smile Empty Soul,Nowhere Kids,Energetic
Seafret,Oceans,Sad
Various Artists,October Rain,Calm
Cora Zea,Old Rain on a New Day,Calm
Lennon Stella,Older Than I Am,Sad
Fleet Foxes,On Another Ocean (January / June),Sad
Robbie Rivera,On My Way (feat. Jordan Kaahn),Happy
Labi Ramaj,One More Night,Energetic
Cedric Gervais,One Night - D.O.D Remix,Energetic
Linkin Park,One Step Closer,Energetic
RY X,Only,Sad
Joshua Radin,Only You,Sad
Faelt,Open Fields,Calm
Lost Horse Mine,Open Skies,Calm
Halfway Escape,Orbits,Calm
My Chemical Romance,Our Lady of Sorrows,Energetic
Hoobastank,Out Of Control,Energetic
Lupe Fuentes,Out Of Control - Pat Vocal Mix,Energetic
Lush,Out of Control,Sad
Olivia Belli,Out of the Deep,Calm
MorMor,Outside,Sad
Sum 41,Over My Head (Better Off Dead),Energetic
The War On Drugs,Pain,Sad
LudoWic,Panoramic Feelings (Piano Version),Calm
Linkin Park,Papercut,Energetic
Anberlin,Paperthin Hymn,Energetic
Matteo Myderwyk,Parabel,Calm
Coldplay,Paradise,Happy
Finger Eleven,Paralyzer,Energetic
MorMor,Pass The Hours,Sad
Arya Shae,Path to Serenity,Calm
KAAZE,People Are Strange - Festival Mix,Energetic
Birdy,People Help the People,Sad
Cecelya,Petrichor,Calm
Ludwig van Beethoven,"Piano Sonata No. 14 In C Sharp Minor, Op. 27-2 1st Mvt: Adagio Sostenuto",Calm
Hicham Chahidi,Pierre,Calm
Kornum & Karma,Pink Rupture,Happy
Estado De Calma,Placidity,Calm
Sofiane Pamart,Planet,Calm
Sarah Davachi,Play The Ghost,Sad
Taproot,Poem,Energetic
Linkin Park,Points of Authority,Energetic
Breaking Benjamin,Polyamorous,Energetic
Sylvain Chauveau,Pour Les Oiseaux,Calm
Rise Against,Prayer Of The Refugee,Energetic
Marynka,Prelude,Calm
Max Richter,Prelude 6 - Pt. 1,Calm
Alexander Motovilov,Prelude in F,Calm
Van Stiles,Presence,Calm
Seth Hills,Pressure,Energetic
Eve 6,Promise,Energetic
Foster The People,Pumped Up Kicks,Happy
Atlas Sound,Quick Canal (W/ Laetita Sadier),Sad
Various Artists,Quiet Room,Calm
Mazzy Star,"Quiet, The Winter Harbor",Sad
Nina June,Raven's Feather - Piano Solo,Calm
Marlies du Mosch,Rayons de soleil,Calm
Chocolate Puma,Reality,Happy
Olivia Belli,Rebuscano,Calm
Shannon Lay,Recording 15,Sad
Underoath,Reinventing Your Exit,Energetic
Dries Beheydt,Remains,Calm
Bazzi,Renee's Song,Sad
Rage Against The Machine,Renegades Of Funk,Energetic
DubVision,Rescue Me,Energetic
Domaine Blanc,Retrospectacular,Calm
Yonder Dale,Revitalize,Calm
Nicky Romero,Ring The Alarm - Stadiumx Remix,Energetic
Nicky Romero,Rise (ft. Matluck) - Thomas Gold Remix,Energetic
St Woods,River,Sad
Agnes Obel,Riverside,Sad
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Happy
Ex:Re,Romance,Sad
OutKast,Roses,Happy
Billy Talent,Rusted From the Rain,Energetic
The National,Rylan,Sad
JP Saxe,Sad Corny Fuck,Sad
Marynka,Sadness,Calm
Above & Beyond,Sahara Love - Seven Lions Remix,Energetic
Hoobastank,Same Direction,Energetic
Regina Spektor,Samson,Sad
Harvest Silence,Saving Daylight,Calm
Rise Against,Savior,Energetic
The Used,Say Days Ago,Energetic
Elmau Dunkel,Schloss,Calm
Erik Frank,Secrets,Energetic
Steve Aoki,Send It,Happy
Various Artists,Send Me on My Way,Happy
The White Stripes,Seven Nation Army,Happy
AFTRHOURS,She Kind of Looks Like You,Sad
Pieter Savenberg,She Remembers (Piano Solo),Calm
Avery Young,Shifts Of Light,Calm
Fuel,Shimmer,Energetic
Manse,Shine,Happy
Sufjan Stevens,Should Have Known Better,Sad
The Clash,Should I Stay or Should I Go - Remastered,Happy
Julia Holter,Silhouette,Sad
Pieter de Graaf,Silver Lining,Calm
Passenger,Simple Song,Sad
Various Artists,Sinking Man - The Walking Dead Soundtrack,Sad
Made Of Gold,Sintra,Calm
CamelPhat,Siren Song - Radio Edit,Happy
Bon Iver,Skinny Love,Sad
Hope Sandoval and the Warm Inventions,Sleep,Sad
The Lumineers,Slow It Down,Sad
Lily Allen,Smile,Happy
Alien Ant Farm,Smooth Criminal,Energetic
Florejan,Snowfall,Calm
Joep Beving,Solitude,Calm
The Killers,Some Kind Of Love,Sad
Oliver Ingrosso,Somebody - Josef Bamba Remix Radio Edit,Happy
Gotye,Somebody That I Used To Know,Happy
City of the Sun,Someday,Calm
Adele,Someone Like You,Sad
Thomas Gold,Someone New,Happy
Valentin,Somewhere Only We Know,Sad
Hope Sandoval and the Warm Inventions,Son of a Lady,Sad
Wolf Alice,"Song to the Siren - Recorded at Strongroom Studios, London",Sad
Vicetone,South Beach,Energetic
Norman Greenbaum,Spirit In The Sky,Happy
The Rolling Stones,Start Me Up - Remastered,Happy
Gracie Abrams,Stay,Sad
Olaars & Will Philips,Stay Here,Energetic
Golden Sleep,Stay Home,Calm
Alberto L. Ferro,Stay Still,Calm
The Raconteurs,"Steady, As She Goes",Happy
Mastrovita,Still Alive,Energetic
Nina Nesbitt,Still Waiting to Start,Sad
Lost Horse Mine,Stormy Weather,Calm
Sandro Silva,Story Of A Violin,Happy
Ella van der Woude,Strange Dreams,Calm
Kensington,Streets,Happy
Disturbed,Stricken,Energetic
Various Artists,Stuck In The Middle With You,Happy
Disturbed,Stupify,Energetic
Iron & Wine,Such Great Heights,Sad
dEUS,Suds & Soda,Happy
Parazal,Suhpratti,Calm
Ella van der Woude,Summer Boredom,Calm
Cocteau Twins,Summer-Blink,Sad
MØ,Sun In Our Eyes - Don Diablo Remix,Happy
Bodywash,Sunspots,Sad
Manuela,Supermarket,Sad
Swanky Tunes,Supersonic (feat. Christian Burns),Energetic
Stevie Wonder,Superstition,Happy
Natalie Taylor,Surrender,Sad
Deftones,Swerve City,Energetic
Gareth Emery,Take Everything,Happy
a-ha,Take on Me,Happy
Silo Silo,Takeoff,Calm
The Romantics,Talking In Your Sleep,Happy
Tom Kalani,Target,Calm
Massive Attack,Teardrop - Remastered 2006,Sad
Various Artists,Teardrops - Single Version,Happy
Bullet For My Valentine,Tears Don't Fall,Energetic
Wheatus,Teenage Dirtbag,Happy
Lambert,Tegel,Calm
Song Sung,Telling Tales,Sad
My Chemical Romance,Thank You for the Venom,Energetic
Ed Sheeran,The A Team,Sad
Thin Lizzy,The Boys Are Back In Town,Happy
Still Corners,The Calvary Cross,Sad
Gustavo Santaolalla,The Choice,Calm
Ex:Re,The Dazzler,Sad
So Vea,The Disappearance of the Unmoved Mover,Calm
Sulfur Springs,The Discovery,Calm
Charles Bolt,The Dreamer,Calm
Cora Zea,The Five Times I Loved You,Calm
Various Artists,The Funeral,Sad
Alexander Wren,The Good in Goodbye (Alternate Version),Sad
The White Stripes,The Hardest Button To Button,Energetic
Sum 41,The Hell Song,Energetic
Barry Adamson,The Hummingbird,Sad
Bat For Lashes,The Hunger,Sad
Steve Miller Band,The Joker,Happy
Dimitri Vangelis & Wyman,The King (with Dzeko),Energetic
Still Corners,The Message,Sad
Song Sung,The Mind's Eye,Sad
Lord Huron,The Night We Met,Sad
Nico Casal,The Night We Met - Rework,Calm
Men Without Hats,The Safety Dance,Happy
Steven Vrancken,The Snail’s Teachings II: The Wonders of,Calm
Kate Teague,The Temporary,Sad
Alaskan Tapes,The Times Are Tired,Calm
Alok,The Wall,Energetic
Gorgon City,There For You,Energetic
Martin Thulin,Thin White Duchess,Sad
Dillon,Thirteen Thirty-Five,Sad
Remy Van Kesteren,This Reminds You - Satie Remix,Calm
Goat Girl,Throw Me a Bone,Sad
Alesso,Tilted Towers,Happy
Amoll,Time Out,Calm
AMBIE,Time Travel,Calm
Jacco Wynia,Tiptoeing,Calm
The Cinematic Orchestra,To Build A Home,Sad
BANKS,To The Hilt,Sad
Junodream,To the Moon,Sad
Annelie,Tomorrow,Calm
A Static Lullaby,Toxic,Energetic
Death Cab for Cutie,Transatlanticism,Sad
Sebastián Escofet,Trastevere,Calm
Patrick Hamilton,Trees - Solo Piano,Calm
Anson Seabra,Trying My Best,Sad
Bram de Looze,Tu Vois,Calm
Chumbawamba,Tubthumping,Happy
Annelie,Tuesday,Calm
The Beatles,Twist And Shout - Remastered 2009,Happy
Spin Doctors,Two Princes,Happy
Big Thief,UFOF,Sad
Josie Mehlin,Understudy,Calm
Gabriel & Dresden,Underwater - Tinlicker Remix,Happy
Muse,Unintended,Sad
Armin van Buuren,United,Happy
Noah Vanden Abeele,Universe,Calm
Thom Yorke,Unmade,Sad
Taking Back Sunday,Up Against (Blackout),Energetic
Muse,Uprising,Energetic
Jurrivh,Used to Be,Calm
Steve Gunn,Vagabond,Sad
Amaranth Cove,Vague,Calm
Wilson Trouvé,Valse Lente,Calm
Dimitri Vangelis & Wyman,Vamos,Energetic
Dave202,Venom,Happy
Lana Del Rey,Video Games - Remastered,Sad
The Buggles,Video Killed The Radio Star,Happy
Jamiroquai,Virtual Insanity - Remastered,Happy
Coldplay,Viva La Vida,Happy
Disturbed,Voices,Energetic
Steve Brian,Wait For Me,Happy
Alice Boman,Waiting,Sad
Martin Garrix,Waiting For Tomorrow (feat. Mike Shinoda),Energetic
John Mayer,Waiting On the World to Change,Happy
Rand Aldo,Waiting like the Storm,Calm
Kensington,War,Happy
Five Finger Death Punch,Wash It All Away,Energetic
Florejan,Watching Clouds Disappear,Calm
Star Slide,Water Colors,Calm
A Teardrop In The Lake,Water Lillies,Calm
Cranes,Watersong,Sad
Beacon,Wave of Mutilation,Sad
Simian,We Are Your Friends - Justice Vs Simian,Happy
Other Lives,We Wait,Sad
Coheed and Cambria,Welcome Home,Energetic
Radical Face,"Welcome Home, Son",Sad
The Romantics,What I Like About You,Happy
Ron Verboom,What Should Have Been,Calm
The Six Parts Seven,What You Love You Must Love Now,Calm
Fenne Lily,What's Good,Sad
Florejan Verschueren,When The World Stood Still,Calm
Threading Hair,When They Come,Calm
Rouge Haven,When You Left,Calm
Blonde Redhead,Where Your Mind Wants to Go - RONE Remix,Sad
Josh Kramer,While the Rest of the World Sleeps,Calm
Metallica,Whiskey In The Jar,Energetic
Stacy Crowne,White Lies,Energetic
The Him,White Lies - Guy Arthur Remix,Energetic
Wilson Trouvé,White Sparks,Calm
Martèn LeGrand,Whitehaven,Calm
War,Why Can't We Be Friends?,Happy
Epi-Soothe,Wild Trails,Calm
Armin van Buuren,Wild Wild Son - Club Mix,Energetic
Dust Follows,Willet,Calm
Wilson Trouvé,Winter Scenery,Calm
Kina,Wish I Was Better,Sad
Pink Floyd,Wish You Were Here - 2011 Remastered Version,Sad
Sorry,Wished,Sad
The Exies,Without,Energetic
Doeke,Wolkendans,Calm
Blasterjaxx,Wonderful Together (feat. Envy Monroe),Happy
Oasis,Wonderwall,Happy
Ghost Of Summer,Woodland Heart,Calm
Julia Holter,Words I Heard,Sad
NERVO,Worlds Collide - Edison Cole Remix,Happy
Phoebe Bridgers,Would You Rather,Sad
Sublime,Wrong Way,Energetic
No Vacation,Yam Yam,Sad
Jef Martens,You Are Safe With Me,Calm
Mordkey,You Can't Rely on My Love,Happy
New Radicals,You Get What You Give,Happy
Loyal Lobos,You Were Bored,Sad
Various Artists,"You're Gonna Go Far, Kid",Energetic
Queen,You're My Best Friend - Remastered 2011,Happy
Aaron Smith,Your Turn Now,Sad
Daughter,Youth,Sad
Eucalyptic,alpha waves,Calm
Kamal.,blue,Sad
