Artist,Title,Mood
Enya,Wild Child,relaxed
Megadeth,Blood of Heroes,angry
Eminem,Mosh,angry
Kate Nash,Pumpkin Soup,happy
Nine Inch Nails,My Violent Heart,angry
Spahn Ranch,The Conversation,sad
Common,Faithful,relaxed
D'Angelo,Jonz In My Bonz,relaxed
The Coral,She's Got A Reason,relaxed
Pete Philly & Perquisite,Mystery Repeats,happy
Andrew Bird,Masterfade,relaxed
Lamb of God,Redneck,angry
The Haunted,99,angry
Burzum,Dunkelheit,sad
A Silver Mt. Zion,Microphones in the Trees,sad
Gossip,Eyes Open,angry
Emigrate,In My Tears,sad
Dead Boys,Sonic Reducer,angry
Anthony David,Something About You,relaxed
Lisa Loeb,Wishing Heart,happy
Elliott Smith,Bottle Up And Explode!,relaxed
Neurosis,The Tide,sad
Fatboy Slim,Wonderful Night,happy
Justin Timberlake,Like I Love You,happy
Amel Larrieux,Weather,relaxed
Black Kids,Listen To Your Body Tonight,happy
Love Is All,Make Out Fall Out Make Up,sad
The Byrds,Hickory Wind,sad
Megadeth,Elysian Fields,angry
Slayer,Praise of Death,angry
Snow Patrol,Crazy In Love,happy
R. Kelly & Public Announcement,She's Got That Vibe,happy
The Beatles,Run for Your Life,angry
Cat Stevens,Lilywhite,relaxed
Anthrax,Bring the Noise,angry
Britney Spears,Ooh Ooh Baby,happy
Slayer,Piece by Piece,angry
Village People,In the Navy,happy
Deep Dish,Flashdance,happy
Britney Spears,Brave New Girl,happy
Janis Joplin,Summertime,sad
Blue Man Group,Time to Start,happy
Amon Amarth,Ride For Vengeance,angry
Tindersticks,Piano Song,sad
Marilyn Manson,Great Big White World,sad
Arcade Fire,Black Mirror,sad
The Prodigy,Voodoo People,angry
Frida,Baby Don't You Cry No More,relaxed
Kate Nash,Mariella,happy
Fleet Foxes,Blue Ridge Mountains,relaxed
The Honeydrips,(Lack of) Love Will Tear Us Apart,relaxed
Kristin Hersh,Gazebo Tree,sad
Jill Tracy,Haunted By the Thought of You,sad
S Club 7,Bring It All Back,happy
Kanye West,Coldest Winter,sad
The Chemical Brothers,Left Right,angry
Antimatter,Ghosts,sad
Dixie Chicks,Voice Inside My Head,sad
Metallica,"Broken, Beat & Scarred",angry
Carbon Based Lifeforms,PhotoSynthesis,relaxed
XTC,This Is Pop?,angry
PJ Harvey,The Darker Days Of Me & Him,sad
Keren Ann,In Your Back,relaxed
Nine Days,Bitter,sad
Art Brut,Modern Art,happy
Laura Marling,Shine,sad
Smokie,Living Next Door To Alice ,relaxed
Mastodon,Blood and Thunder,angry
Rasputina,Watch T.V.,sad
Eminem,My Name Is,happy
Hanne Hukkelberg,Cast Anchor,relaxed
Dolly Parton,Here You Come Again,happy
Pinback,Some Voices,relaxed
2Pac,Me Against the World,angry
Chris Botti,The Look Of Love,relaxed
Mortal Love,In the Sun,sad
Dead Kennedys,Holiday in Cambodia,angry
Acceptance,In Too Far,relaxed
Sun Kil Moon,Neverending Math Equation,relaxed
Nine Inch Nails,I Do Not Want This,angry
Daft Punk,Technologic,happy
Martina McBride,Valentine,relaxed
The Airborne Toxic Event,Something New,sad
Sleeper,Lie Detector,happy
Enya,Deora Ar Mo Chroí,relaxed
Massive Attack,Daydreaming,relaxed
Silverchair,Lie To Me,angry
No Doubt,Spiderwebs,happy
Guns N Roses,Mr. Brownstone,angry
The Five Blobs,The Blob,happy
Manic Street Preachers,4st 7lb,angry
Saybia,Guardian Angel,sad
Mastodon,Crystal Skull,angry
Mudvayne,IMN,angry
Koop,Waltz for Koop,relaxed
Enigma,Total Eclipse of the Moon,relaxed
A Tribe Called Quest,1nce Again,relaxed
Stevie Wonder,Ribbon In The Sky,relaxed
Sick Puppies,You're Going Down,angry
The Fratellis,Vince The Loveable Stoner,happy
Flowing Tears,Lovesong For A Dead Child,sad
Death From Above 1979,Pull Out,happy
Jimmy Eat World,Claire,relaxed
Buster Poindexter,Hot Hot Hot,happy
Arcana,Like Statues In The Garden Of Dreaming,sad
Keb' Mo',Just Like You,relaxed
Susanna and the Magical Orchestra,Time,relaxed
Joan Baez,The Night They Drove Old Dixie Down,sad
Melanie C,Carolyna,sad
Madredeus,O Sonho,relaxed
The Black Dahlia Murder,Miasma,angry
Sting,Children's Crusade,sad
James Taylor,That Lonesome Road,sad
50 Cent,U Not Like Me,angry
The Kingsmen,Louie Louie,happy
Cypress Hill,Stoned Is the Way of the Walk,angry
India.Arie,God Is Real,relaxed
Ice Cube,The Nigga Ya Love to Hate,angry
Frankie Valli,Grease,happy
Huey Lewis & The News,I Want a New Drug,happy
Grant Lee Buffalo,Rock of Ages,sad
Kelis,Caught Out There,angry
Scissor Sisters,She's My Man,happy
The Innocence Mission,Lake Shore Drive,relaxed
Matt Wertz,Like The Last Time,relaxed
Ella Fitzgerald,Solitude ,relaxed
Ben Kweller,Thirteen,sad
Ozzy Osbourne,Running Out of Time,angry
Tindersticks,Travelling Light,sad
Blonde Redhead,Girl Boy,relaxed
The Clash,London's Burning,angry
Mark Kozelek,Bad Boy Boogie,sad
Norah Jones,The Long Day Is Over,relaxed
The Rubettes,Sugar Baby Love,happy
Vienna Teng,Green Island Serenade,relaxed
Keren Ann,Ailleurs,relaxed
Gotan Project,Queremos paz,relaxed
The Organ,There Is Nothing I Can Do,sad
Cocteau Twins,Wolf in the Breast,relaxed
A Perfect Circle,People Are People,relaxed
Behemoth,At the Left Hand Ov God,angry
Ke$ha,Blah Blah Blah ,happy
Beastie Boys,The Sounds Of Science,happy
Essie Jain,Glory,relaxed
Beyoncé,Baby Boy,happy
Karen Matheson,Mi Le M' Uilinn,relaxed
Fountains Of Wayne,Stacy's Mom,happy
Céline Dion,Declaration Of Love,happy
Public Enemy,Welcome to the Terrordome,angry
Ice Cube,No Vaseline,angry
Lily Holbrook,Welcome to the Slaughterhouse,sad
Silverchair,Miss You Love,sad
Megadeth,Vortex,angry
Ours,Sometimes,sad
Relient K,The Pirates Who Don't Do Anything,happy
Daughtry,Call Your Name,sad
John Mayer,New Deep,relaxed
Moonspell,Awake,sad
Local Natives,Who Knows Who Cares,sad
Metallica,Damage Inc.,angry
Switchfoot,Let Your Love Be Strong,sad
Depeche Mode,Sister Of Night,sad
Machine Head,Take my Scars,angry
Jazzanova,Look What You're Doin' To Me,relaxed
Wir sind Helden,Darf Ich Das Behalten,sad
At The Drive-In,Alpha Centauri,angry
Korn,Thoughtless,angry
Dave Matthews Band,Satellite,relaxed
Celtic Woman,Over The Rainbow,relaxed
Marty Robbins,El Paso,relaxed
Rihanna,Stupid In Love,sad
Amber Pacific,If I Fall,sad
Sally Shapiro,Time To Let Go,sad
Slayer,Supremist,angry
Machine Head,"The Blood, the Sweat, the Tears",angry
Ida Maria,Louie,happy
Shout Out Louds,Never Ever,happy
The Rocket Summer,Hold It Up,happy
Sting,Little Wing,relaxed
The Coral,Shadows Fall,happy
Amos Lee,"Keep It Loose, Keep It Tight",relaxed
Paradise Lost,Say Just Words,sad
System of a Down,Soldier Side,angry
India.Arie,These Eyes,relaxed
The Mountain Goats,So Desperate,sad
Ozma,Continental Drift (Flight Of The Bootymademoiselle),sad
Edison Lighthouse,Love Grows (Where My Rosemary Goes),happy
Rage Against the Machine,Voice of the Voiceless,angry
Anthrax,Indians,angry
Thousand Foot Krutch,Favorite Disease,sad
Everything But The Girl,Meet Me in the Morning,relaxed
Marilyn Manson,Little Horn,angry
Razorlight,Get It And Go,happy
Shakira,Rabiosa,happy
Goldfish,Times May Change You,relaxed
Kraftwerk,Autobahn,relaxed
Mastodon,Siberian Divide,angry
Lene Marlin,Unforgivable Sinner,sad
Wolfmother,Vagabond,happy
Velvet Underground,White Light/White Heat,angry
Thea Gilmore,Whistle And Steam,relaxed
DIR EN GREY,CONCEIVED SORROW,sad
John Lennon,I Found Out,angry
The Dresden Dolls,Girl Anachronism,angry
Scars of life,Bullet with your name,angry
Slayer,Altar of Sacrifice,angry
Nine Inch Nails,Gave Up,angry
AC/DC,Evil Walks,angry
Stevie Wonder,Love Light In Flight,happy
Rage Against the Machine,Revolver,angry
Ron Sexsmith,Snow Angel,relaxed
Slayer,Fight Till Death,angry
Soft Cell,Youth,sad
The Pierces,Boy in a Rock and Roll Band,happy
Bruce Springsteen,War,angry
Bloodhound Gang,Kiss Me Where It Smells Funny,happy
The Intruders,Together,relaxed
Cut Chemist,Spoon,relaxed
Girls Aloud,Jump,happy
Diana Krall,Little Girl Blue,relaxed
Jefferson Starship,Miracles,relaxed
Mad Caddies,Rockupation,happy
Mariah Carey,Melt Away,relaxed
Wu-Tang Clan,Da Mystery of Chessboxin',angry
Papa Roach,Last Resort,angry
Guillemots,Falling Out Of Reach,relaxed
Justin Timberlake,LoveStoned/I Think She Knows Interlude,happy
Psapp,Needle and Thread,relaxed
Cradle of Filth,Lovesick for Mina,angry
Lily Allen,Friday Night,happy
Sandi Thom,What If I'm Right,happy
Sneaker Pimps,How Do,relaxed
Jimmy Eat World,Pain,angry
Ice Cube,Wicked,angry
Delta Goodrem,Fragile,sad
Captain Hollywood Project,More and More,happy
From First To Last,The Latest Plague,angry
Primordial,Gods To The Godless,sad
Rage Against the Machine,Mic Check,angry
Flyleaf,Red Sam,angry
Rage Against The Machine,Killing in the Name,angry
N-Trance,Set You Free,happy
Mazzy Star,Before I Sleep,relaxed
Man Man,Feathers,sad
The Mamas & The Papas,Words Of Love,relaxed
Redman,Blow Your Mind,angry
Scott Walker,If You Go Away,sad
Anberlin,Hello Alone,angry
U2,A Man And A Woman,happy
Great Big Sea,Captain Wedderburn,relaxed
The Blues Brothers,Rubber Biscuit,happy
The Pipettes,Tell Me What You Want,happy
The Rolling Stones,Citadel,angry
Ween,Monique the Freak,happy
Adverts,Gary Gilmore's Eyes,angry
Frank Sinatra,Nancy (With The Laughing Face),relaxed
Bebel Gilberto,So Nice (Summer Samba),relaxed
New London Fire,Nadine,sad
Annie,Anniemal,happy
Animal Collective,Loch Raven,relaxed
Bright Eyes,Classic Cars,relaxed
Lizz Wright,Hey Mann,relaxed
Fiona Apple,Limp,angry
The Jackson 5,ABC,happy
Todd Rundgren,One More Day (No Word),relaxed
Rage Against the Machine,Wind Below,angry
Al Green,Let's Get Married,relaxed
Jimmy Durante,I'M The Guy Who Found The Lost Chord,happy
Yael Naïm,Too Long,relaxed
Chairlift,Ceiling Wax,relaxed
India.Arie,Nature,relaxed
James Blunt,High (live in Ireland),relaxed
Lucinda Williams,Broken Butterflies,sad
Skip James,Hard Time Killin' Floor Blues,sad
My Dying Bride,My Wine in Silence,sad
Acid Bath,Toubabo Koomi,angry
Infernal,I Won't Be Crying,happy
Camera Obscura,Your Picture,sad
Florence + The Machine,Blinding,sad
Aberfeldy,Love Is an Arrow,sad
Antony and the Johnsons,The Lake,sad
Estatic Fear,Chapter I,sad
Joni Mitchell,The Last Time I Saw Richard,sad
The Presets,This Boy's In Love,happy
Gary Numan,Rip,sad
Nevermore,Enemies Of Reality,angry
Cake,Pretty Pink Ribbon,happy
Chevelle,Don't Fake This,angry
Lamb of God,Bloodletting,angry
Megadeth,Good Mourning/Black Friday,angry
Less Than Jake,History Of A Boring Town,happy
Sebadoh,Soul and Fire,sad
Opeth,Moonlapse Vertigo,sad
Linkin Park,Runaway,angry
Nile,Sacrifice Unto Sebek,angry
of Montreal,The Party's Crashing Us,happy
Jane Monheit,Over The Rainbow,relaxed
Donald Fagen,The Great Pagoda Of Funn,relaxed
Jens Lekman,Friday Night at the Drive-In Bingo,happy
Fannypack,Not This,relaxed
Mýa,Now or Never,happy
Atlantic Starr,If Your Heart Isn't In It,relaxed
Cassandra Wilson,Closer To You,relaxed
Azam Ali,In Other Worlds,sad
Misfits,Halloween,angry
Clannad,A Bridge (That Carries Us Over),relaxed
Squarepusher,A Real Woman,happy
Mr. Hyde,Spill Your Blood,angry
M83,Carresses,relaxed
Arctic Monkeys,Fake Tales of San Francisco,happy
Less Than Jake,Just Like Frank,happy
Megadeth,Sin,angry
L'Arc~en~Ciel,ALONE EN LA VIDA,sad
The Velvet Underground,Heroin,sad
Relient K,Must Have Done Something Right,happy
Primordial,The Coffin Ships,sad
Air,Sing Sang Sung,relaxed
Moya Brennan,River,relaxed
Kane,Where Do I Go Now,sad
The Unicorns,Sea Ghost,happy
Corinne Bailey Rae,Butterfly,relaxed
Corinne Bailey Rae,Another Rainy Day,relaxed
Spice Girls,Love Thing,happy
Nina Simone,My Man's Gone Now,sad
Rammstein,Benzin,angry
Maggie Reilly,Reunion,relaxed
Nas,One Mic,angry
Róisín Murphy,Primitive,happy
Franz Ferdinand,Michael,happy
Chubby Checker,Limbo Rock,happy
Undertones,Get Over You,angry
ERA,Cathar Rhythm,relaxed
Limp Bizkit,The Propaganda,angry
Yoko Ono,Kiss Kiss Kiss,happy
Fractured,One More Time,sad
The Cure,Out of Mind,angry
BrokeNCYDE,Sex Toyz,happy
Kaskade,Your Love Is Black,sad
The Helio Sequence,Back to This,relaxed
Michael Jackson,Bad,happy
Pescado Rabioso,Dulce 3 Nocturno,relaxed
Lifehouse,The Beginning,relaxed
The Chameleons,Monkeyland,sad
Black Flag,Nervous Breakdown,angry
Bauhaus,Slice Of Life,sad
Johnny Cash,Sunday Morning Coming Down,sad
Bowling For Soup,Almost,happy
Alien Ant Farm,Glow,happy
Lou Reed,The Kids,sad
Halou,Political,relaxed
Evan Rachel Wood,Hold Me Tight,happy
Great Lake Swimmers,I Will Never See the Sun,relaxed
Gorillaz,Superfast Jellyfish,happy
Nine Inch Nails,Heresy,angry
Enigma,The Cross of Changes,relaxed
At The Drive In,Quarantined,angry
The Unicorns,Jellybones,happy
Guns N' Roses,This I Love,sad
Venetian Snares,Dad,sad
Bright Eyes,"Oh, You Are the Roots That Sleep Beneath My Feet and Hold the Earth in Place",relaxed
Devendra Banhart,Noah,relaxed
Nevermore,All Play Dead,angry
Big Star,Holocaust,sad
Rihanna,Let Me,happy
Ozzy Osbourne,No Easy Way Out,angry
Richard Ashcroft,On A Beach,relaxed
"""Weird Al"" Yankovic",Eat It,happy
Suicidal Tendencies,Institutionalized,angry
Acoustic Alchemy,Say Yeah,relaxed
Beck,Rental Car,happy
Cradle of Filth,Tonight in Flames,angry
Manic Street Preachers,I'm Not Working,sad
Bonnie Somerville,Winding Road,relaxed
DIR EN GREY,VINUSHKA,angry
Gary Numan,In A Dark Place,sad
Mariee Sioux,Wild Eyes,relaxed
K's Choice,Another Year,sad
Maximilian Hecker,Kate Moss,sad
White Town,Your Woman,happy
Dntel,(This Is) The Dream of Evan and Chan,relaxed
Manchester Orchestra,Shake It Out,angry
Jay-Z,Success,angry
Wilco,What Light,relaxed
Squeeze,Hourglass,happy
Nine Inch Nails,March Of The Pigs,angry
Refused,The Deadly Rhythm,angry
Slayer,Can't Stand You,angry
Sing It Loud,No One Can Touch Us (Featuring Alex Gaskarth),happy
Bauhaus,The Three Shadows Part II,sad
Blink-182,Man Overboard,happy
Alan Jackson,Here In The Real World,sad
George Michael,Freeek! '04,happy
Jennifer Lopez,I'm Real,happy
Venom,Black Metal,angry
Shpongle,Once Upon the Sea of Blissful Awareness,relaxed
Elbow,little beast,sad
Soulfly,Back to the Primitive,angry
AFI,Silver And Cold,sad
Emma Shapplin,Favola Breve,relaxed
Ben Folds,Rockin' The Suburbs,happy
Rage Against the Machine,Settle for Nothing,angry
Megadeth,The Killing Road,angry
The Helio Sequence,Back To This,relaxed
The Fall,War,angry
The Beatles,Twist and Shout,happy
Siobhan Donaghy,So You Say,sad
The Tokens,The Lion Sleeps Tonight,happy
The Beatles,Octopus's Garden,happy
Adele,Melt My Heart To Stone,relaxed
Marvin Gaye,What's Happening Brother,relaxed
Martina McBride,Wrong Again,sad
Slayer,Beauty Through Order,angry
Mortiis,Everyone Leaves,sad
Neko Case,The Tigers Have Spoken,sad
Monkey,Pigsy In Space,relaxed
L7,Shitlist,angry
Bruce Springsteen,Hungry Heart,happy
Burzum,En ring til å herske,sad
Deathstars,Synthetic generation,sad
Nerf Herder,Jenna Bush Army,happy
Falco,Vienna Calling,happy
Atmosphere,The Keys to Life vs. 15 Minutes of Fame,angry
Germs,Forming,angry
The Ditty Bops,Waking Up In the City,happy
Stephen Lynch,Gay,happy
Katatonia,Criminals,sad
Bruce Springsteen,State Trooper,sad
Holly Brook,Saturdays,relaxed
Bright Eyes,A Perfect Sonnet,sad
Inner Circle,Sweat ,happy
Lucie Silvas,Nothing Else Matters,sad
Republika,Odchodząc,sad
Ella Fitzgerald,Remember,relaxed
The Stooges,Search and Destroy,angry
Boards of Canada,Aquarius,relaxed
Metallica,Phantom Lord,angry
Doug Stone,I'd Be Better Off (In A Pine Box),sad
Flobots,Handlebars,angry
Hatebreed,I Will Be Heard,angry
Samuel E. Wright,Under The Sea,happy
Susanna and the Magical Orchestra,Jolene,relaxed
Lard,The Power of Lard,angry
I Like Trains,Terra Nova,sad
They Might Be Giants,Birdhouse In Your Soul,happy
Wu-Tang Clan,Wu-Tang Clan Ain’t Nuthing ta Fuck Wit,angry
Friendly Fires,Lovesick,happy
Burzum,Jesus' Tod,angry
Rage Against the Machine,Know Your Enemy,angry
Tunng,Man in the box,relaxed
Oceansize,Savant,sad
Machine Head,American High,angry
Otep,T.R.I.C.,angry
Pat Monahan,Her Eyes,happy
Hayley Westenra,Let Me Lie,relaxed
Wesley Willis,I Wupped Batman's Ass,happy
Marilyn Manson,Burning Flag,angry
Kings Of Convenience,Know-How,relaxed
Enya,Oíche Chiúin (Silent Night),relaxed
Bruce Springsteen,Pay Me My Money Down,happy
Jessica Simpson,Sweetest Sin,happy
The Dillinger Escape Plan,We Are the Storm,angry
Bikini Kill,Suck My Left One,angry
Lunatica,Out!,angry
Japan,Obscure Alternatives,sad
Sophie Milman,Back Home To Me,relaxed
Selig,Ohne dich,sad
Eighteen Visions,The Sweetest Memory,sad
Queen,Mother Love,sad
Seether,Fake It,angry
Tenacious D,Car Chase City,happy
Thievery Corporation,Amerimacka ,relaxed
Remi Nicole,Dates From Hell,happy
Richard Thompson,Sibella,sad
At The Drive-In,Proxima Centauri,angry
Nick Cave and the Bad Seeds,Where Do We Go Now But Nowhere,sad
Sham 69,If The Kids Are United,angry
Lit,Miserable,sad
Azam Ali,From Heaven to Dust,relaxed
Arab Strap,New Birds,sad
Survivor,Eye of the Tiger,angry
Nirvana,Tourette's,angry
Rage Against the Machine,Bombtrack,angry
Jack Johnson,Fortunate Fool,relaxed
Nick Cave and the Bad Seeds,Far From Me,sad
Kim Carnes,Bette Davis Eyes (Acoustic Version),relaxed
The Innocence Mission,Small Planes,sad
Frank Sinatra,Don't Worry 'Bout Me,relaxed
The Pussycat Dolls,Buttons,happy
Jay Brannan,Half-Boyfriend,sad
The Dillinger Escape Plan,The Mullet Burden,angry
Atari Teenage Riot,Revolution Action,angry
Jonathan Coulton,Ikea,happy
"Lipps, Inc.",Funkytown,happy
Nick Cave and the Bad Seeds,Hallelujah,sad
Nevermore,I Am The Dog,angry
The Eames Era,Could Be Anything,happy
Baccara,"Yes Sir, I Can Boogie",happy
Trading Yesterday,One Day,relaxed
Judas Priest,Breaking the Law,angry
Godsmack,Straight Out of Line,angry
Stevie Wonder,Ngiculela-Es Una Historia-I Am Singing,relaxed
Matt Wertz,Lonely Tonight,relaxed
Oasis,I'm Outta Time,sad
Silverchair,Trash,angry
Ice-T,O.G. Original Gangster,angry
Yanni,Nostalgia,relaxed
D'Angelo,Africa,relaxed
Boz Scaggs,Jojo,relaxed
Mark Lanegan,Kingdoms Of Rain,sad
Jason Mraz,Unfold (Eagles Ballroom Live Version),relaxed
Dark Sanctuary,La chute de l'ange,sad
Bullet For My Valentine,Scream Aim Fire,angry
Lonnie Donegan,My Old Man's A Dustman,happy
The Decemberists,The Hazards of Love 4 (The Drowned),sad
The Replacements,All Shook Down,relaxed
Balligomingo,Escape,relaxed
Alela Diane,The Rifle,relaxed
Sade,Hang On To Your Love,relaxed
Duran Duran,Hungry Like The Wolf,happy
Morrissey,Let Me Kiss You,sad
Art Brut,My Little Brother,happy
Village People,Macho Man,happy
Ella Fitzgerald,Let Yourself Go,relaxed
The Byrds,Wasn't Born To Follow,happy
ElectroVamp,Drinks Taste Better When They're Free,happy
Theatre of Tragedy,Bacchante,sad
The Puppini Sisters,We Have All The Time In The World,happy
The Emotions,Flowers,relaxed
Darren Hayes,Unlovable,sad
Busted,Year 3000,happy
Magnolia Electric Co.,Hard to Love a Man,sad
Nine Inch Nails,Wish,angry
Converge,Drop Out,angry
Yardbirds,I'm a Man,angry
Teddy Geiger,Gentlemen,relaxed
Emery,Fractions,sad
DMX,Ruff Ryders' Anthem,angry
Celtic Woman,The Prayer,relaxed
Ramones,Do You Remember Rock 'N' Roll Radio?,happy
The Cure,Us Or Them,angry
Guns N Roses,Paradise City,angry
Alejandro Sanz,No es lo mismo,happy
System of a Down,Prison Song,angry
Ozzy Osbourne,Gets Me Through,angry
Lene Marlin,When You Were Around,relaxed
Joshua Radin,"No Envy, No Fear",relaxed
Los Pericos,Pupilas Lejanas,relaxed
Strokes,Hard to Explain,angry
Deerhoof,"O'Malley, Former Underdog",happy
Powderfinger,My Kind Of Scene,relaxed
Vio-Lence,Serial Killer,angry
Kenny Chesney,She Thinks My Tractor's Sexy,happy
Silverchair,Spawn Again,angry
Sepultura,Dead Embryonic Cells,angry
Steely Dan,Only A Fool Would Say That,relaxed
IVY,I Think Of You,relaxed
Black Sabbath,Lonely Is The Word,sad
The Rakes,We Are All Animals,happy
Nice & Smooth,Sometimes I Rhyme Slow,relaxed
Korn,Dead Bodies Everywhere,angry
Patty Griffin,Heavenly Day,relaxed
U2,MLK,sad
Peter Tosh,Legalize It,relaxed
Serge Gainsbourg,Comic Strip,happy
Isis,So Did We,sad
Godsmack,Cryin' Like a Bitch,angry
Edyta Górniak,Soul Boy,relaxed
Nicki French,Total Eclipse Of The Heart,happy
Ben Folds Five,For Those Of Ya'll Who Wear Fannie Packs,happy
The Wiseguys,Ooh La La,happy
Nerf Herder,Welcome To My World,happy
Saosin,It's So Simple,angry
Lisa Stansfield,Soul Deep,relaxed
Ricky Martin,She Bangs,happy
Suicide,Frankie Teardrop,angry
The Contours,Do You Love Me,happy
Nightmares On Wax,Flip Ya Lid,relaxed
Nine Inch Nails,Burn,angry
Ziggy Marley,Melancholy Mood,relaxed
Lil' Kim,Magic Stick ,happy
Enya,A Moment Lost,relaxed
Firefall,Strange Way,relaxed
Bob Rivers,Who Put the Stump?,happy
Rage Against the Machine,Maggie's Farm,angry
Take 6,More Than Ever,relaxed
Nappy Roots,Good Day,happy
Abra Moore,On the Way,relaxed
Diamond Head,Am I Evil?,angry
Ella Fitzgerald,In A Mellow Tone,relaxed
Rage Against the Machine,Without a Face,angry
Celtic Woman,Away In A Manger,relaxed
Tristania,Deadlands,sad
Cavalera Conspiracy,Hearts of Darkness,angry
Foo Fighters,Wattershed,angry
Godsmack,I Fucking Hate You,angry
Joni Mitchell,Shine,relaxed
Simply Red,Ev'ry Time We Say Goodbye,sad
The Cure,Three Imaginary Boys,sad
Judas Priest,Angel,sad
Jill Scott,Show Me,relaxed
Zeromancer,Doctor Online,angry
Pixies,Something Against You,angry
Devo,Whip It,happy
Killswitch Engage,Reckoning,angry
The Waterboys,Red Army Blues,sad
Headstones,Fuck you,angry
Black Sabbath,War Pigs,angry
At the Gates,Slaughter Of The Soul,angry
The Proclaimers,Letter From America,relaxed
"""Weird Al"" Yankovic",Cable TV,happy
blink-182,Aliens Exist,happy
Demon Hunter,Deteriorate,sad
Jennifer Lopez,Jenny From the Block,happy
OK Go,This Will Be Our Year,happy
Rollins Band,Hotter And Hotter,angry
The Pipettes,Your Kisses Are Wasted On Me,happy
VIRGIN BLACK,Velvet Tongue,sad
Luther Vandross,Promise Me,relaxed
Anberlin,The Runaways,angry
Tom Zé,A Felicidade,relaxed
Hole,Reasons To Be Beautiful,sad
HIM,Heartache Every Moment,sad
Opeth,Blackwater Park,sad
Sondre Lerche,Side Two,relaxed
Morrissey,There's A Place In Hell For Me And My Friends,sad
At The Drive-In,Chanbara,angry
Aerosmith,Dude (Looks Like A Lady),happy
Rammstein,Wo bist du,sad
Weezer,Good Life,angry
Mark Hollis,The Colour Of Spring,sad
Slayer,Crypts of Eternity,angry
Jon & Vangelis,I Hear You Now,relaxed
Beyoncé,Crazy In Love,happy
Quiet Riot,Bang Your Head (Metal Health),angry
Rage Against the Machine,Pistol Grip Pump,angry
Delerium,Fallen Icons,relaxed
Donald Fagen,H Gang,relaxed
The Stooges,1970 (Take 3),angry
Yo La Tengo,Big Day Coming,relaxed
Celtic Woman,The Blessing,relaxed
Johnny Paycheck,Take This Job and Shove It,happy
Faith No More,Epic,angry
Blu Cantrell,Don't Wanna Say Goodbye,sad
Jesus & Mary Chain,Blues from a Gun,angry
The Jets,Make It Real,sad
The Cure,Out Of This World,sad
Psapp,The Words,happy
Cansei de Ser Sexy,Move,happy
Seu Jorge,Rebel Rebel,relaxed
Flight of the Conchords,Inner City Pressure,happy
Air,The Vagabond,relaxed
Reel Big Fish,Your Guts (I Hate 'Em),angry
Limp Bizkit,The Story,angry
Hüsker Dü,Hardly Getting Over It,sad
Willie Nelson,Sad Songs And Waltzes,sad
Split Enz,I Got You,angry
Don Omar,Salio El Sol,happy
Norah Jones,The Long Way Home,relaxed
At The Drive-In,Cosmonaut,angry
Augie March,There Is No Such Place,relaxed
Yeah Yeah Yeahs,Black Tongue,happy
Hatebreed,A Call For Blood,angry
Cursive,Art Is Hard,angry
The String Cheese Incident,Sometimes a River,relaxed
Lisa Ekdahl,Only You,relaxed
Athlete,Flying Over Bus Stops,relaxed
Duke Ellington,Satin Doll,relaxed
Anthrax,C11 H17 N2 O2 S Na,angry
Rick Braun,Walk On The Wild Side,relaxed
Children of Bodom,Downfall,angry
N.W.A,Fuck tha Police,angry
Ministry,Wrong,angry
Alice Cooper,Halo of Flies,angry
Apostle of Hustle,Animal Fat,relaxed
Blue October,Razorblade,angry
Black Flag,Room 13,angry
M. Ward,For Beginners,relaxed
Valley of the Giants,Bala Bay Inn,relaxed
Sleeping at Last,Hurry,relaxed
Janina,Nachts um halb drei,happy
